Name,Bedrooms,Price,Location,Total_Area,Description,Baths,Balcony
"Vn Nattrunai ,Thirumullaivoyal, Chennai",3,45.0,"Vn Nattrunai ,Thirumullaivoyal, Chennai",1024,"Check out this 3 BHK Apartment for sale in Thirumullaivoyal, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Thirumullaivoyal is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 1. The total number of floors in this project is 2. The property's price is Rs 45.0 L. This property is a modern-day abode, with 1024 Square feet built-up area. The unit has 3 bedrooms and 2 bathroom. Educational institutio...",3,No
"Krishna Nagar, Sriperumbudur,Chennai",3,54.0,"Krishna Nagar, Sriperumbudur,Chennai",1508,"Brand New, nobody occupied, Maintained well, Vasthu compliant, East facing.,  ready for immediate occupation, Great place for investment, Not far from upcoming new international airport, Thirumaz isai where Vegetable market, Central bus station and metro rail are expected apart from it being selected for smart city More About This Property Check out this 3 BHK Villa for sale in Sriperumbudur, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Villa is perfect for a modern-day lifestyle. Sriperumbudur is a promising location in Chennai and t...",3,Yes
Jones Dawn Villas by Jones Foundations,3,87.0,"Ponmar, Chennai",1782,"One of the finest property in Moolacheri is now available for sale. This is a 3 BHK Villa posted directly by owner. Make it yours now. The price of this Villa is Rs 1.01 Cr. This Villa is spacious with a built-up area of 1782 Square feet. There are 3 bedrooms and 3 bathroom. This property ensures you are a quick distance away from the city's best schools such as Advent Christian Middle school, Christwood School, and Sri Shanmukha Vidhyalaya School. It is also close to good and reputed hospitals like Sri Isari Velan Mission Hospital",3,Yes
"Swarnambigai Nagar, Virugambakkam,Chennai",5,250.0,"Swarnambigai Nagar, Virugambakkam,Chennai",2500,"Brokers, kindly excuse us. CMDA approved 5BHK East Facing independent house in AVM Avenue, Virugambakkam with 2BHK on ground floor, 2BHK on 1st floor and separate room and bath room in 2nd floor. The house comes with 2 car covered parking with plenty of two wheeler parking and with corporation water supplemented by borewell water. More About This Property 5 BHK Independent House for sale in Virugambakkam, Chennai. This 5 BHK unit is available in Virugambakkam and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for ...",4,Yes
"Sai Dhanu Regency,Radhakrishnan Nagar, Adyar,Chennai",2,70.0,"Sai Dhanu Regency,Radhakrishnan Nagar, Adyar,Chennai",900,"2BHK flat of around 900 square feet situated in 2nd floor. It has very good ventilation and is airy. It is walkable by 10 mins to besant nagar beach , 10 mins to thiruvanmiyur bus stand, 7  mins to vannanthurai bus stand. All electrical fittings and woodwork is done and is ready to occupy. It has spacious bed rooms and large hall cum dining. It is located in Gangai Amman Koil Street,  near TM maistry street.  More About This Property Property for sale in Adyar, Chennai. This 2 BHK Apartment is located in Chennai's most promising location. This property is posted by owner and there is no broker...",3,Yes
Khurinji Zinnia,1,26.0,"Meenakshi Avenue, West Tambaram,Chennai",537,"Check out this 1 BHK Apartment for sale in Tambaram, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 1 BHK Apartment is perfect for a modern-day lifestyle. Tambaram is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 2. The total number of floors in this project is 4. The property's price is Rs 26.0 L. Residents in this property pay Rs 889 towards maintenance. This property is a modern-day abode, with 537 Square feet built-up area. The carpet-area is 3...",2,Yes
"Kottavakkam, Chennai",2,90.0,"Kottavakkam, Chennai",1292,"200M from Kottivakkam Bus Stand. 100M from KFC and mainroad ECR. Patta property. River sand building, strong construction. Can accommodate another floor. Located in prime location More About This Property One of the finest property in Kottavakkam is now available for sale. This is a 2 BHK Independent House posted directly by owner. Make it yours now. The price of this Independent House is Rs 90.0 L. Other charges when you move into this property include maintenance, which is Rs 100. This Independent House is spacious with a built-up area of 1292 Square feet. The carpet area is 950 Square feet....",3,Yes
VGN Imperia Phase 3,3,54.0,"Arjunamedu, Thiruverkkadu,Chennai",1096,"Looking for a 3 BHK Apartment for sale in Chennai? Your search ends here. Buy this 3 BHK property in Chennai's finest location, Thiruverkadu. This is an owner listed property and there is no brokerage involved. It is on floor 4 out of 4 floors. This Apartment is available at a reasonable price of Rs 54.0 L. Maintenance charges in this property is Rs 2192. The built up area of this property is 1096 Square feet. This property is South facing. There are 3 bedrooms and 2 bathroom. The Apartment has lift facility. It is a thoroughly safe premise with cctv facility. Other facilities include amenitie...",3,No
"Bharathi Nagar, Ayanavaram,Chennai",4,240.0,"Bharathi Nagar, Ayanavaram,Chennai",2300,"One of the finest property in Ayanavaram is now available for sale. This is a 4 BHK Independent House posted directly by owner. Make it yours now. The price of this Independent House is Rs 2.4 Cr. This Independent House is spacious with a built-up area of 2300 Square feet. There are 4 bedrooms and 3 bathroom. This property ensures you are a quick distance away from the city's best schools such as Bharatiya Vidya Bhavan, Chinmaya Vidyalaya School, and CSI Bain Matriculation Higher Secondary School. It is also close to good and reputed hospitals like LIMA MULTISPECIALITY HOSPITAL, Apollo Medical...",4,Yes
"LIVEGREEN CONSTRUCTIONS,Sembakkam, Chennai",1,29.0,"LIVEGREEN CONSTRUCTIONS,Sembakkam, Chennai",586,"Elegance, Quality, Comfort and within your Budget ...*Property located at just 500 meters from Thambaram-Velechery Main Road*Sembakkam Main Bust Stand @ 450 meters distance*Kamarajapuram Main Bus Stand @ 800 meters distance*Rajakilpakkam Main Junction @ 1.5 Km*Camp Road Main Junction @ 3.0Kms*Medavakam Main Junction @ 3.0Kms*Thambaram Main Railway Station @ 4.5Kms*Municipality Children's Park & Garden @ 400 meters distance*CBSE Schools at a distance 0f 1 Km*Market & Shops @ 500 meters distance*Hospitals @ 1Km*Prince College @ 1 Km , SIVET College @ 2.5Kms, MCC College @ 4KmsConcept and project...",2,No
Alliance Galleria Residences,2,90.0,"Arulmurugan Nagar, Old Pallavaram,Chennai",1112,"One of the finest property in Old Pallavaram is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 14. It is a 14 storeyed building. The price of this Apartment is Rs 92.0 L. This Apartment is spacious with a built-up area of 1112 Square feet. There are 2 bedrooms and 2 bathroom. Lift facility is also available. This is a gated community. This property is equipped with cctv facility. Health enthusiasts will enjoy the host of special facilities, such as provision for sports facility. Other facilities include Gym, Garden, Sports Facility...",3,No
"Veppampattu, Chennai",1,24.8,"Veppampattu, Chennai",560,"Looking for a 1 BHK Independent House for sale in Chennai? Your search ends here. Buy this 1 BHK property in Chennai's finest location, Veppampattu. This is an owner listed property and there is no brokerage involved. This Independent House is available at a reasonable price of Rs 24.8 L. The built up area of this property is 560 Square feet. It is spacious for a family and this property has a carpet area of 220 Square feet. There are 1 bedroom and 1 bathroom. There are a number of reputed schools in the vicinity such as Sri Aravindar School, ANGEL School, and Veppampattu School. Medical facil...",2,Yes
"Shankar Nagar, Pammal,Chennai",2,37.0,"Shankar Nagar, Pammal,Chennai",856,"A 2 BHK Apartment for sale in Pammal, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Pammal's most desired properties. Contact now for more information. This 2 BHK unit is on floor 3. There are 3 floors in this property. The price of this Apartment is Rs 37.0 L. Maintenance charges come to Rs 700. Each unit has a built-up area of 856 Square feet. There are 2 bedrooms. There is provision for 2 bathroom. This residential property is near SARADA MATRICULATION SCHOOL, VKK Ammani Ammal Matriculation School, and Olive ...",3,Yes
"Naveen vanagaram,Kanchuma Puram, Vanagaram ,Chennai",2,65.0,"Naveen vanagaram,Kanchuma Puram, Vanagaram ,Chennai",1079,"2 BHK Apartment for sale in Vanagaram, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Vanagaram which is a promising investment destination in Chennai. This might be your chance to grab the best 2 BHK property for sale in Vanagaram. The property is on floor 1 and the total number of floors is 3. This 2 BHK Apartment is available at a reasonable price of Rs 65.0 L. Residents also need to pay maintenance charges of Rs 1000. It is a very spacious property, spread over 900 Square feet. The built-up area is 1079 Squar...",3,Yes
"LAND MARVEL KARPAGAMBAL,Jeth Nagar, Chennai",2,120.0,"LAND MARVEL KARPAGAMBAL,Jeth Nagar, Chennai",1100,"A 2 BHK Apartment for sale in Mandaveli, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Mandaveli's most desired properties. Contact now for more information. This 2 BHK unit is on floor 0. There are 3 floors in this property. The price of this Apartment is Rs 1.2 Cr. Maintenance charges come to Rs 2000. Each unit has a built-up area of 1100 Square feet. The carpet area is 920 Square feet. There are 2 bedrooms. There is provision for 2 bathroom. This residential property is near Chettinad Vidhyashram School, St M...",3,Yes
Krishna Apartment,3,56.0,"Madambakkam, Chennai",1432,"3 BHK Apartment for sale in Madambakkam, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Madambakkam which is a promising investment destination in Chennai. This might be your chance to grab the best 3 BHK property for sale in Madambakkam. The property is on floor 0 and the total number of floors is 2. This 3 BHK Apartment is available at a reasonable price of Rs 45.0 L. Residents also need to pay maintenance charges of Rs 200. The built-up area is 1432 Square feet. This property has provision for 3 bathroom. This...",3,Yes
Raghavendra Aishwaryam Flats,2,45.0,"Urapakkam, Chennai",932,"2 BHK Apartment for sale in Chennai. This property is in Urapakkam, which is a coveted investment location. This tastefully designed 2 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 2 BHK property is posted directly by Owner. Contact now for more details. This property in Chennai is on floor 1. The total number of floors in this Apartment is 4. The price of the Apartment is Rs 45.0 L. Monthly maintenance charges come to Rs 1500. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 932 Square feet. ...",3,Yes
"Madambakkam, Chennai",3,45.0,"Madambakkam, Chennai",1500,"Property for sale in Guduvancherry, Chennai. This 3 BHK Independent House is located in Chennai's most promising location. This property is posted by owner and there is no brokerage involved. This Independent House's price is Rs 45.0 L. Homebuyers will also need to pay Rs 500 towards maintenance. This Independent House is a spacious unit, with carpet area of 1000 Square feet and is ideal for families. The built-up area is 1500 Square feet. The property has 3 bedrooms and 2 bathroom. This Independent House is strategically located within close distance of famous healthcare centres such as Velic...",3,Yes
"Tambaram Mount, West Tambaram,Chennai",2,75.0,"Tambaram Mount, West Tambaram,Chennai",1200,"This is a corner property on  the main road. Buyer can add additional storeys making it a Duplex house. Away from pollution, yet near to conveniences, just 2 KM from Tambaram Station. 200 metres south of the Maduravoyal Bypass. It has a garden with useful produce. Your neighbours work for top IT MNCs and are very peace-loving. Land area 2700 sqft(60X45). House is about 15 plus years old, but well maintained and ready to occupy with no monthly maintenance.  More About This Property A 2 BHK Independent House for sale in Tambaram, Chennai. Posted by Owner, No brokerage involved. This beautifully ...",3,Yes
"Building velachery ,Anna Nagar Extension, Velachery,Chennai",1,32.0,"Building velachery ,Anna Nagar Extension, Velachery,Chennai",590,"A 1 BHK Apartment for sale in Velachery, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 1 BHK unit with all the modern-day comforts is one of Velachery's most desired properties. Contact now for more information. This 1 BHK unit is on floor 1. There are 1 floors in this property. The price of this Apartment is Rs 32.0 L. Maintenance charges come to Rs 1000. Each unit has a built-up area of 590 Square feet. The carpet area is 590 Square feet. There are 1 bedroom. There is provision for 1 bathroom. This residential property is near DAV School, Sangford School, and A S...",2,Yes
"Shri Vihar ,Sembakkam, Chennai",4,85.0,"Shri Vihar ,Sembakkam, Chennai",1570,"4 BHK Apartment for sale in Sembakkam, Chennai. This 4 BHK unit is available in Sembakkam and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Sembakkam. It is on floor 1. The total number of floors is 1. The price of this Apartment is Rs 85.0 L. Residents in this project also pay monthly maintenance charges of Rs 0. It is a good, spacious Apartment unit with carpet area of 1350 Square feet. The built-up area is 1570 Square feet. There are 4 bedrooms and 3 b...",3,Yes
Indra Enclave,2,36.0,"Krishnaveni Nagar, Medavakkam,Chennai",808,"A 2 BHK Apartment for sale in Medavakkam, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Medavakkam's most desired properties. Contact now for more information. This 2 BHK unit is on floor 2. There are 2 floors in this property. The price of this Apartment is Rs 39.0 L. Each unit has a built-up area of 808 Square feet. This North-facing property has an excellent view. There are 2 bedrooms. There is provision for 2 bathroom. This residential property is near AKG Public School, BS Matriculation School, and Sahasras...",3,No
"Ma. Po. Si. Nagar, Thiruvallur,Chennai",3,50.0,"Ma. Po. Si. Nagar, Thiruvallur,Chennai",1582,"3 BHK Independent House for sale in Chennai. This property is in Thiruvallur, which is a coveted investment location. This tastefully designed 3 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. The price of the Independent House is Rs 50.0 L. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1582 Square feet. The carpet area is 1400 Square feet. This is a North facing property. It has 2 bathroom and 3 bedrooms. This is a gat...",3,Yes
"TNHB Colony, Villivakkam,Chennai",4,225.0,"TNHB Colony, Villivakkam,Chennai",2400,Independent house with seperate compound facing 30 feet road. Surrounded by coconut trees which gives cool atmosphere More About This Property One of the finest property in Villivakkam is now available for sale. This is a 4 BHK Independent House posted directly by owner. Make it yours now. The price of this Independent House is Rs 2.25 Cr. This Independent House is spacious with a built-up area of 2400 Square feet. A separate servant room available in this Independent House. There are 4 bedrooms and 4 bathroom. This property ensures you are a quick distance away from the city's best schools su...,4,Yes
"Anchorage,Mandavelipakkam, Raja Annamalai Puram,Chennai",3,160.0,"Anchorage,Mandavelipakkam, Raja Annamalai Puram,Chennai",1350,"Looking for a 3 BHK Apartment for sale in Chennai? Your search ends here. Buy this 3 BHK property in Chennai's finest location, Raja Annamalai Puram. This is an owner listed property and there is no brokerage involved. It is on floor 1 out of 2 floors. This Apartment is available at a reasonable price of Rs 1.6 Cr. The built up area of this property is 1350 Square feet. There are 3 bedrooms and 2 bathroom. There are a number of reputed schools in the vicinity such as Chettinad Vidhyashram School, P S Senior Secondary School, and ST Johns Matriculation Higher Secondary School. Medical facility ...",3,Yes
"Kandasamy Nagar, Porur,Chennai",3,65.0,"Kandasamy Nagar, Porur,Chennai",1400,"Looking for a 3 BHK Independent House for sale in Chennai? Your search ends here. Buy this 3 BHK property in Chennai's finest location, Porur. This is an owner listed property and there is no brokerage involved. This Independent House is available at a reasonable price of Rs 65.0 L. Maintenance charges in this property is Rs 0. The built up area of this property is 1400 Square feet. There are 3 bedrooms and 4 bathroom. There are a number of reputed schools in the vicinity such as Devi Academy Senior Secondary School, Sarojini Varadappan Girl's Higher Secondary School, and Grace Matric Higher S...",3,Yes
"Viswas Castle,Urapakkam, Chennai",2,32.0,"Viswas Castle,Urapakkam, Chennai",950,"Looking for a good 2 BHK Apartment in Urapakkam, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. The property is on floor 1. Total number of floors is 2. Maintenance charges of this property is Rs 500. This Apartment is available for Rs 32.0 L. This modern unit has a built-up area of 949 Square feet. The carpet area of this Apartment is 750 Square feet. There are 2 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Arokia Annai Hospital & Medicals Laboratory, Arokiya Hospital, and Nandivaram Government Hos...",3,No
"Puzhal, Chennai",2,55.0,"Puzhal, Chennai",850,"2 BHK Independent House for sale in Surapet, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Independent House is in Surapet which is a promising investment destination in Chennai. This might be your chance to grab the best 2 BHK property for sale in Surapet. This 2 BHK Independent House is available at a reasonable price of Rs 55.0 L. Residents also need to pay maintenance charges of Rs 500. It is a very spacious property, spread over 600 Square feet. The built-up area is 850 Square feet. This property has provision for 2 bathro...",3,Yes
"Venkateshwara Nagar, Ramapuram,Chennai",2,54.0,"Venkateshwara Nagar, Ramapuram,Chennai",860,"Looking for a good 2 BHK Apartment in Ramapuram, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. The property is on floor 4. Total number of floors is 7. Maintenance charges of this property is Rs 600. This Apartment is available for Rs 54.0 L. This modern unit has a built-up area of 860 Square feet. The carpet area of this Apartment is 700 Square feet. There are 2 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Apollo Hospitals, Greams Road, MIOT International, and Dr.Agarwals Eye Hospital, Porur. Esta...",3,No
"Velachery, Chennai",3,79.0,"Velachery, Chennai",1300,"3 BHK Apartment for sale in Velachery, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Velachery which is a promising investment destination in Chennai. This might be your chance to grab the best 3 BHK property for sale in Velachery. The property is on floor 0 and the total number of floors is 2. This 3 BHK Apartment is available at a reasonable price of Rs 79.0 L. The built-up area is 1300 Square feet. This property has provision for 3 bathroom. It enjoys a strategic location with many reputed and multispeciality...",3,Yes
Jayam Villa,2,85.0,"Ramakrishna Nagar, Raja Annamalai Puram,Chennai",780,"Property for sale in Raja Annamalai Puram, Chennai. This 2 BHK Apartment is located in Chennai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 2. The total number of floors in this building is 3. This Apartment's price is Rs 85.0 L. Homebuyers will also need to pay Rs 1000 towards maintenance. The built-up area is 780 Square feet. The property has 2 bedrooms and 2 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as Apollo Spectra Hospitals, Apollo Spectra Hospitals, and Kauve...",2,No
"Kallikuppam, Ambattur,Chennai",2,67.0,"Kallikuppam, Ambattur,Chennai",1100,"2 BHK Independent House for sale in Ambattur, Chennai. This 2 BHK unit is available in Ambattur and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Ambattur. The price of this Independent House is Rs 67.0 L. Residents in this project also pay monthly maintenance charges of Rs 0. It is a good, spacious Independent House unit with carpet area of 600 Square feet. The built-up area is 1100 Square feet. There are 2 bedrooms and 3 bathroom. This property is at a ...",3,No
